method,cor,imp_V0,pval_V0,imp_V1,pval_V1,imp_V2,pval_V2,imp_V3,pval_V3,imp_V4,pval_V4,imp_V5,pval_V5,imp_V6,pval_V6,imp_V7,pval_V7,imp_V8,pval_V8,imp_V9,pval_V9,imp_V10,pval_V10,imp_V11,pval_V11,imp_V12,pval_V12,imp_V13,pval_V13,imp_V14,pval_V14,imp_V15,pval_V15,imp_V16,pval_V16,imp_V17,pval_V17,imp_V18,pval_V18,imp_V19,pval_V19,imp_V20,pval_V20,imp_V21,pval_V21,imp_V22,pval_V22,imp_V23,pval_V23,imp_V24,pval_V24,imp_V25,pval_V25,imp_V26,pval_V26,imp_V27,pval_V27,imp_V28,pval_V28,imp_V29,pval_V29,imp_V30,pval_V30,imp_V31,pval_V31,imp_V32,pval_V32,imp_V33,pval_V33,imp_V34,pval_V34,imp_V35,pval_V35,imp_V36,pval_V36,imp_V37,pval_V37,imp_V38,pval_V38,imp_V39,pval_V39,imp_V40,pval_V40,imp_V41,pval_V41,imp_V42,pval_V42,imp_V43,pval_V43,imp_V44,pval_V44,imp_V45,pval_V45,imp_V46,pval_V46,imp_V47,pval_V47,imp_V48,pval_V48,imp_V49,pval_V49
0.5*CPI,0.05,0.4326168371469623,1.0438765061790777e-12,0.3396710498229817,1.6458939391231308e-09,0.010863205216535866,0.06554966855582861,0.030502709601627175,0.01463029647083673,0.005164257298549515,0.037124597600270016,-0.0029130553469889583,0.26262283124444097,0.0008899679513168679,0.18384124777230088,0.001183498140023979,0.1662833014473047,-0.0010560437514254952,0.14376009077324475,-0.003242181806805758,0.2631254813749721,-0.0054284810690334905,0.30269280781628805,0.00022606074338608193,0.2989544025531441,-0.005958825605103033,0.28929568334793554,-0.0038119672555960655,0.37213606648584474,0.0010583110578158235,0.2353296494588573,0.003107160977336622,0.25152157477361536,0.004478473556851872,0.13995076839280718,0.0050332325093281815,0.2550861618069759,-0.007000602682392003,0.25733864353457747,0.010279528002545316,0.14671680748410235,-0.0017725608480596976,0.23097252785793732,-0.001722971598899191,0.41272175822223633,-0.00031158338946262143,0.17198593335062667,0.0033913639166772893,0.25424309186935173,-0.0004596947089035234,0.21161561742392052,-0.0009749363106514419,0.22181008749371284,0.0030619795454266555,0.23327886674551904,-0.001261746861041186,0.15091477569092976,-0.00103655252330432,0.22162057592720363,0.0014089541834862013,0.2279655328075303,-0.0083780129809047,0.3726807681308413,0.005052857489771505,0.24569567470130999,0.0014548109206402315,0.18074378149394726,0.008300951076871305,0.29828589807976014,0.0010032508439362963,0.3049896506505622,-0.01298088452583192,0.2109640742774668,0.0017858577124432592,0.1915049165656518,0.007928971959588903,0.15052275641426444,0.0017108521187655312,0.24551601524944594,-0.017217762519419224,0.30902046118945375,0.0007073714660179377,0.31211119302166795,-0.003065050095277771,0.1885300475280156,0.01432914626194512,0.15995572138969855,0.002579897572253145,0.3293640967006177,0.004706951037120853,0.11493479034040238,0.003463056161753911,0.20001598719552494,-0.008752087260362348,0.42953890534443534,-0.0034602739424161684,0.22629721016837467,0.002696283166890421,0.17302355470201458,-0.008128675319557254,0.3691809791858999
0.5*CPI,0.1,0.2788655752324804,2.5963961027591904e-08,0.43519916593808744,2.4173681371136725e-07,0.030141159308481172,0.035941051424047396,0.011272779897024097,0.1263251775900147,0.08610819916546344,0.029170238455975092,0.006685472777334564,0.32208054545424203,-0.007423781356414132,0.26505716343261115,0.003236869328186863,0.24018549238430983,0.019787999567933246,0.3314422421387027,0.010752401142421724,0.2098579462648978,-0.007057921243193915,0.3805175624177143,-0.004756404373047404,0.27634543412182966,0.0005466553908617441,0.12888474037319847,0.010065017156395866,0.2436403481006043,-0.00736009146519804,0.3091088980883453,-0.00138912055372761,0.3093408530737436,-0.00045860337888473676,0.24995791363499376,-0.0014927179479072513,0.42534915945525803,0.0180023557228542,0.19689230860213605,-0.0062648618999470666,0.31202290337359195,-0.010645684139688256,0.24436767213163157,-0.0038619161901798076,0.20437305246551646,0.01203317488778756,0.25464120113036004,-0.008380705489283349,0.26406642317661116,-0.002994235137703592,0.3999412756836274,-0.013256078870154923,0.4180584155053677,-0.019737507613719705,0.48290912955540577,-0.025874715921980984,0.2561386222697889,0.006992146339626882,0.2435911138459082,0.00011635319841089638,0.28107512731484646,-0.009856588642394514,0.3081503083819028,0.011744714498360741,0.13476969489508858,0.009610179732933105,0.1478166733151842,-0.01242481105356671,0.3100684192618649,-0.012383800971685411,0.34889524807984684,0.0024157009784686804,0.18175613698499632,0.035029749416271766,0.24687855582310203,-0.021377350286077183,0.43425117233587385,-0.0007651437696356021,0.21340179086257777,-0.007518614708350607,0.3444086318451131,-0.009297793438273182,0.35870375435167523,-0.01464569014262052,0.25661036535116344,-0.02322475476247755,0.31950222654546256,-0.03782484858102447,0.4775622212768167,-0.0395310062476115,0.4391160754077844,-0.006485972611856782,0.21200967385226327,-0.013362466756659645,0.39656842518224716,0.00018920718071353888,0.1616831349435066,-0.005317967573404317,0.28168359034943236,0.012659996654657394,0.18242496514537737
0.5*CPI,0.3,0.5101912562375108,4.309974065477685e-08,0.48020861077910754,7.23732693875438e-09,-0.0063501625980666625,0.14156891312955655,-0.0001548709618636024,0.13055777157269288,-0.00037513397132890553,0.1967810574417691,0.003768196895117465,0.19985613877193423,-0.0014425900757926644,0.318956954307012,0.0029440740677482867,0.33401421024325806,0.0029895706628941293,0.11107383225326632,-0.011935050003917912,0.3749029554192063,0.0034794293571165933,0.19305826670766396,-0.016876484375989747,0.47496436701321176,0.004405446697644246,0.15663797937123025,0.00015921208571715694,0.3089371047171767,0.00018311768528574032,0.28267224450466644,-0.0021791183173305905,0.2084980786291441,-0.0037547329583359373,0.22420452359601462,0.006434945087821441,0.11831231672736914,-0.00039633554904497945,0.23039055176727016,-0.0017885652323618658,0.22500786565666697,0.000468143739652619,0.2817226640018029,-0.008568401249495613,0.4239896035008971,-0.0006239871854245668,0.2065180845754363,0.002070748091936295,0.3054847434265917,-0.0022289555349151147,0.41962220236304204,0.0026661210478144664,0.27973424227670884,0.0007440632794740454,0.29832109563224385,-0.012170395489670093,0.4665671827916703,0.0010630279040532201,0.25378298158969764,-0.006521919808948783,0.3678798541555116,0.0007228028651770737,0.23869935477814808,-0.0013375023603044071,0.2716385204661191,-0.005799463768841132,0.3730046957919945,-0.0031251799748332133,0.4391968998696537,-0.010183422636731896,0.3067207504116269,-0.02603286643908235,0.2824330513800476,-0.011518556972359172,0.2681846346154213,-0.0015610346223123139,0.418071209590425,0.0006716818353335518,0.25285227432708174,0.004489622282755882,0.333149704301219,0.0003573428476324425,0.36000165044663546,-0.00221795389161116,0.3373401762997763,-0.011870471515454655,0.33074168749207483,-0.004049391047346509,0.32308991601543247,-0.008898672293080076,0.45664401308782376,-0.00760147238229278,0.361088114003798,-0.0003667186859288063,0.19649879214920907,0.008769274278573514,0.2747213134346053,0.009994962613214383,0.22107820163064879,-0.007479522377247101,0.3431351794951968
0.5*CPI,0.5,0.53932206975077,6.099476580575411e-10,0.11184903723130188,9.152213317515065e-09,0.0002961468285469926,0.21587047579081198,0.009297519421737524,0.10558153586227745,0.005378297865591088,0.1468036716742569,0.0015255070123671942,0.22307514487581565,0.007496964857016874,0.18770953563714865,-0.007938591675934708,0.34769045029763357,-0.005631720485962509,0.3751402173644847,-0.00012037337295820923,0.12161856332878745,-0.0036903746535847997,0.27475111421835163,-0.0007320996838588952,0.3229555596057341,0.000474455839682412,0.2331027783685522,-0.001027590476833019,0.3550846195296346,-0.0031246737366250163,0.3598485208180659,-0.008368949606528207,0.21395676117791743,9.404617352792448e-05,0.2859971248502414,-0.004374616270239254,0.34752604966200734,-0.0027189683625043824,0.3461850511277114,0.0006446755621262014,0.24201555646043788,-0.004797882309448861,0.3348039335902789,-0.0022094259462423988,0.3309221577110873,-0.006362647592975373,0.22754809673410462,0.002238741986653741,0.2600371872409607,-0.002157045709643828,0.25808230355836886,0.019868267712693257,0.04869107902461748,0.0009417862664007901,0.21578909681649988,0.01747872597753705,0.15786795796914233,-0.001594969683086247,0.3756273509200655,0.0031793047806346147,0.26718543754979807,-0.02268504289894308,0.43920949618736865,0.0010897774551980278,0.2723345612491953,-0.00390512081286757,0.39274619577986336,0.0018303440021437164,0.3657424801473984,-0.002413908719001291,0.1715134231816102,-0.003070471787429743,0.3865219642086948,-0.004922288079315122,0.3601451372154066,0.0043689857162710075,0.3205543111132746,-0.004281447872727624,0.3016654929094841,-0.002482444699693895,0.21370177733681317,0.000343182163487286,0.34441439546082875,0.0009139753642855264,0.31611071889694276,2.4899262923175947e-05,0.22365449486029645,-0.005217996618908542,0.28358445416034095,0.003626444211548978,0.3263870543108485,-0.0073882787151842745,0.3203953251361002,0.00687081356955813,0.1657330879863561,-0.0009217140385978684,0.3604544757414041,-0.0008594925921630155,0.3982020653952586,-0.002158303618842931,0.3889329087905869
0.5*CPI,0.8,0.2724217537611317,1.587523460698774e-08,0.09225536208992381,1.087036580014571e-07,0.006826200326708652,0.09336145218295577,5.4291906110942916e-05,0.18218663920018255,0.0007747687404225099,0.2510222824989364,0.0006248670698882462,0.21254328132782402,0.0002635871361073654,0.15830473757154895,-0.0008298129297462472,0.19699445625878614,-0.0004574026773732054,0.2925952914628458,-0.0019295135479940025,0.4224943665481643,0.000656034250749145,0.16129472774760278,-0.0025380701839451494,0.4350942820920654,-0.0004624944555348809,0.3425158045360095,0.0006691355933308148,0.37013982319534455,0.0004833304385674871,0.2913727942253615,-0.0002026916775425371,0.36131154186551473,-0.001613799211305829,0.16974940919719403,0.0014323624426334132,0.23940029559900078,-0.00041800086441074304,0.3909780703700999,-0.0018356496005841616,0.25592578725657034,-0.004385152657534054,0.41397309394416226,0.002683540428831995,0.2050577528474323,-0.0009513518119645199,0.37965304971623304,-0.0005739578101824469,0.3925895909007685,-0.0003249532011362385,0.3928254141068778,0.0010791732983605105,0.22306306665303244,-0.003423861329673213,0.1997583097086314,-0.0003802217352297458,0.31828673397839885,-0.0001985335159330783,0.24687058936150882,-0.0005934265706943748,0.3176175288436429,0.005852710507033497,0.13648466234055848,-0.002410574678844557,0.3663117772274814,-0.006663577023795671,0.439745403219706,-0.0002352701852640151,0.3807700820021239,0.0018458618671455614,0.19755223671969752,0.0015022225594502198,0.17004740873319585,-0.0005184310279463388,0.32892684089068863,9.216381001226163e-06,0.34898048120006814,-0.0012503699251068554,0.2612218532410732,0.0008767806143077102,0.24560233750745242,-0.0016405784120554767,0.3870592784238325,-0.0024220341353038215,0.3132428573089475,0.003949453378585268,0.1306221939273934,-0.00042654602780412145,0.3185510816709487,0.00018066149313608395,0.19645467867854888,-0.0011978182201004709,0.3961196692812718,-0.0016495534374116776,0.4454907763903725,-0.0003784869069294684,0.4051318754189023,-0.00016925739540131954,0.24442585543324058,-0.0007021558913102748,0.2747058989743334
PFI,0.05,1.08449610861098,7.085974175200125e-14,0.9219772286493872,1.6765875342049537e-10,0.02974638620857822,0.12386579600171857,0.10052506181400793,0.010354061849221313,0.01695889970202328,0.04702531926651839,-0.00597957677687099,0.5204393941274548,0.00046710257665013205,0.3909633955587696,-0.0005080515387018018,0.2729447057328998,-0.0019836257761156463,0.2672096967161343,-0.005436490614454476,0.5025374090091703,-0.015161956662239243,0.626184738917057,0.011403253278065871,0.5898475416065778,-0.015560547558345145,0.5516816418186113,-0.005950772099587182,0.6567262330992862,0.0006499014932308911,0.3406422991686637,0.005483611592245222,0.45435774039288557,0.013208569131827335,0.19509543846449479,0.02110215542954947,0.5067701264577307,-0.012658742735642006,0.45440698421551623,0.023819343623736357,0.24046928321599148,0.007368870941640618,0.3610621579691624,0.0005989310180719765,0.7233479682450119,0.012145127423810161,0.19436572712007016,0.010700514142668578,0.47787841621041927,-0.002471754258177891,0.44441860977521586,-0.005313040132332669,0.4826388967814692,0.00438301110952499,0.3938970433832103,-0.0020964752761822416,0.2786718942020494,0.0006845624145990503,0.39909094791654653,0.00837434019356805,0.35257204949034743,-0.025895752256614443,0.6933677493660768,0.011555517618024357,0.47705383116851996,0.004122536767581222,0.43297016810252825,0.030138252782162873,0.5479193860949539,0.006378457902635443,0.5296607542067833,-0.024202746997107873,0.4447997469164764,0.0029740918540225123,0.3675757599990302,0.03376490082051794,0.3169738616435223,0.014447972509350968,0.44577757090510994,-0.044906970047122165,0.6211212578598382,0.007177925058550727,0.5295668088653338,0.00029407448560292724,0.3353040017803053,0.0388225168414623,0.30931918930696195,0.005320046486614849,0.6082003586108089,0.014590812510977701,0.25203898155417837,0.008334826572862058,0.3629810350476739,-0.01868366765878551,0.8383919978810912,-0.018044605022565455,0.46290203442977607,0.010412186426413115,0.31619284145608706,-0.020801443153721108,0.7042247568838026
PFI,0.1,0.740507010645688,8.255535258949741e-09,1.115685695892313,2.6732576381897046e-08,0.07879270361929955,0.05614060563462723,0.07928178118208497,0.14590855068592032,0.2379013579811385,0.07274472935590698,0.03189155196088578,0.4076209639672639,-0.019932554240124876,0.5435202934808129,0.008773066291051068,0.41161333079851925,0.06826697762860699,0.6455826997115234,0.020680174767634615,0.42275154768204326,-0.01318327596042951,0.7545425961211285,0.0005100742781727816,0.49874181463023937,0.00812125471179059,0.21267427753256468,0.02682162284476055,0.4593893794253563,-0.01711737216188686,0.5806887350031102,0.0013854737062907357,0.5777755460995626,-0.0024403905627245694,0.5057925385501959,-0.013684989621574151,0.8660587984428247,0.06300997101901305,0.34677051904009154,-0.016158319024010062,0.6925448921249053,-0.02845763162698173,0.5020015900413167,-0.009255441279919467,0.34436956516590556,0.024686456240844486,0.46767492829282353,-0.014273077712880253,0.49100704609648593,-0.001277905921018789,0.7182833615715394,-0.03776855242845184,0.7707184108128797,-0.04321408660465696,0.9611215140531111,-0.06089339730839204,0.5388858626659653,0.03370443629688031,0.42048220768578254,0.0037991148196295475,0.5256836415763145,-0.015848294456951472,0.5016644912683756,0.028213993169114424,0.3292187095589827,0.043662144555322184,0.33715602905304526,-0.02507630723009541,0.6358954406792641,-0.04624993785876437,0.6800818456550269,0.007785877616045345,0.3249963271871845,0.08147228315192219,0.4418094605578854,-0.05453159417754673,0.8860802481854289,0.0016935831369737908,0.32340948655518964,-0.018515779297548017,0.5873994182266116,-0.01456047966005093,0.656668728333211,-0.036816454576039694,0.49227353623369513,-0.05461721990931269,0.5881816054675075,-0.08938432116688923,0.8892783454559969,-0.08943236159835626,0.8510863628198422,-0.0136583629861851,0.3649407303759776,-0.03416485829173516,0.820994528172219,0.003219468765742842,0.27790869603109136,-0.005932284613403061,0.49414470954927653,0.07413521754778644,0.3405338730466337
PFI,0.3,1.5435035070050613,2.0419669670952763e-11,1.3312948625121528,4.6185796077606665e-10,0.030669106492327885,0.055490174913082474,0.006462220146818901,0.15958894490059866,0.005621249693424706,0.29180281984771517,0.004413669337755222,0.466476022111392,-0.0006076769041260422,0.5179812887823102,0.0035980484015793604,0.718731580955214,0.013759616110361871,0.163060150688634,-0.029272082615475713,0.749321872864188,0.01060656072535905,0.3449650054911671,-0.032169306559280526,0.8953702416305441,0.016462578641092122,0.27794932711297426,-0.0017430283792397505,0.7369931281101918,0.00774394446642673,0.4575029597822936,0.029366390708214823,0.2328798134350353,-0.007084928983123599,0.4249554021213874,0.00539974284158207,0.18050491228734045,-0.0015851528975505574,0.3449912915074702,-0.01206938302679244,0.47120903952694937,-0.008051361800062494,0.7117786660908917,-0.019684218532649365,0.822450735980675,-0.0005841436553182544,0.3319871361874302,0.005419100337185107,0.5232230359898173,-0.001173234295762859,0.7732582096501657,0.014657109480367329,0.5226871073808748,0.012246582573942469,0.6518678046079514,-0.026887729561833502,0.8832595978692995,0.0024511747991372386,0.5509006662732092,-0.018061971925572854,0.7334917246626756,0.002203054196428817,0.4863298857587309,0.010670585831051788,0.28615032240143307,-0.03834036458926294,0.6856194552512938,-0.02796777612497438,0.8382241223222326,-0.04112456797161499,0.5928715893495684,-0.056125648445087585,0.5130334406405777,-0.038303818588824645,0.47775468862582665,0.017008675360450757,0.6809582068722502,0.00844649535012798,0.5033915117890381,0.004390809062220407,0.7461074305129558,0.010071393327082004,0.6791432693219437,-0.012398933892904805,0.6400262343300169,-0.03363386873672954,0.6205781681659477,-0.010977786371114679,0.5101482895979292,-0.02224819110950183,0.8977924868316861,-0.013086184964139639,0.7973486341874054,0.008713667183223806,0.27101918626271776,0.03178680800111557,0.3581730513768537,0.026496200809870033,0.35603175596760106,-0.013097337971225954,0.6767675488376567
PFI,0.5,1.8567599962459511,6.309615421839287e-14,1.2490177574113608,1.0798140885723914e-12,0.022644074969583306,0.28773581864339004,0.043825797133634756,0.051916765424394454,0.03272412452689135,0.138230127722076,0.0003393061781116883,0.2972930780390273,0.027578860274344703,0.23196104464000855,-0.014037620561466407,0.6907277044285567,0.0004527592089074591,0.5817191064003713,0.007758315297803726,0.1623514955151672,0.00446312298690066,0.3348845032613036,-0.011193112945265687,0.621919528960626,0.013690883679005405,0.3991973047005195,-0.0020477734901195354,0.5027732712127869,0.022808905548257923,0.4843516817491635,-0.011258386092397068,0.2639286526493952,0.016918519856771046,0.28852590774609205,-0.005348342311950672,0.7135654983782146,-0.0025377728781963375,0.6449654399538371,-0.005526075372799239,0.5827189737690174,-0.012703250656016614,0.6746137738864566,0.0005884392715524693,0.4749787290762107,0.008545088313704327,0.21176556992442147,0.016821081101373096,0.47432438150846895,-0.003610526842852119,0.4576212802473487,0.0628923047274977,0.0604498570646427,0.01212693113143145,0.15320186966905794,0.05592039587098528,0.3669179902072608,-0.0006435612488736897,0.4967863585511529,0.006151480048364888,0.33562531589656136,-0.08037647529082127,0.6608842253362734,0.008760181977327388,0.46328695561939237,-0.00858432622488261,0.7586518902676274,0.03982709198630273,0.48345838430900323,-1.8475836224354964e-05,0.23420101145780609,0.004699459812669674,0.6111745176259489,-0.012469278937900534,0.44485783027590464,-0.0004484925896629299,0.6340521693880032,-0.00818584747495574,0.47885211046809756,-0.0108213578509594,0.3072725137174552,0.02533879529386213,0.5915549725892982,-0.002278032502636601,0.7134163827365049,0.0011704926524491496,0.30648725782139274,-0.016469193804373866,0.5796100594165985,0.011348237850818002,0.6060647370760952,-0.02244421549021963,0.5558204530312434,0.0762771860262258,0.017375165311373883,-0.0001167850761027626,0.5465606176398217,-0.00969811214950143,0.799977777572232,-0.0058298011217962345,0.7592687003923582
PFI,0.8,3.0177573638490123,3.6363052591458613e-13,2.1237341947690673,3.718835674447414e-10,0.2479783829607301,0.00019886737895036114,0.02897283983476464,0.03471956848216112,0.023995657147081916,0.31851025632882923,0.004540470588211901,0.4222988892232662,-0.004497279329450591,0.42586551897342395,-0.009069360232296587,0.4177539568755493,0.00014654115179897305,0.20584844153018447,-0.004002026871335045,0.635156042363828,0.0031092716455409547,0.22709996189588136,-0.005102205365646261,0.7600479211717283,0.006898022333650876,0.12481388585500126,0.01545554515172553,0.35177360665695634,0.008763677404524101,0.6431198643152023,0.010387110546010325,0.36718719262101107,0.00739824467533853,0.2779164460045307,0.06547272356024651,0.24061379414878362,-0.002730081945983293,0.754113617869289,-0.00157636686677749,0.3012870538679013,-0.002351138851753538,0.4806341072766277,-0.00891412711433488,0.5977782782040495,0.019246085926731275,0.3578309037621307,-0.006380192765595638,0.5227563072178186,-0.010773093355400437,0.782237732998506,0.004793119117218142,0.246562371274446,0.05244037770552932,0.026621963174383936,0.011787541417204507,0.6035760682167128,-0.012091678716227471,0.6183073480378083,0.002638704818220046,0.4590454000336114,0.03220964286791462,0.07910684375985177,-0.03742198200228733,0.8205961972279134,-0.04340342591360605,0.7865612999155807,-0.017323166797208155,0.627421873493606,0.014892631216663578,0.17370750215947284,0.008993305156234723,0.33417994444302407,-0.0029916213298965587,0.40793062709533306,0.0061471885265666215,0.6502800484577516,0.015447297095541889,0.4512752137348689,0.0008456991359456675,0.22875646366783509,0.0035144271207805115,0.32128369628676623,0.0020904493751601637,0.41230477792132153,0.033453700939206195,0.24844741330909567,-0.011864309449115946,0.644064122023563,0.003940754894530693,0.4382407438677426,-0.018913080247580885,0.572101585049573,-0.010583091914406912,0.5607595984388574,-0.002595804813420806,0.3629054076940573,-0.015883012186723996,0.4774612793136983,0.0022838818911265113,0.25095669951236454
