method,noise,imp_V0,pval_V0,imp_V1,pval_V1,imp_V2,pval_V2
CPI,0.0,0.008806372652557161,1.9766480068306577e-16,0.1442377217142979,2.3685214800435227e-48,0.011740816543380913,4.9007285194670495e-09
CPI,0.02,0.012952837739370381,5.20495094984122e-23,0.19612274764657225,7.607315417336417e-66,0.010802231844634459,2.4315257876379944e-08
CPI,0.05,0.02264065353186391,9.753895194390796e-36,0.30483567376910714,3.445167495875939e-110,0.012698127510270682,2.4075293060834846e-08
CPI,0.1,0.03321909209863249,1.5206466108840414e-51,0.5004680347343361,2.6746253704904533e-166,0.014617046116444302,1.9004182254117415e-10
CPI,0.2,0.055080099068568575,1.6259756396168407e-75,0.8587348392094003,1.0324575358190565e-300,0.021665848296766314,9.887798061300843e-24
CPI,0.35,0.0852184660298911,6.988624265281715e-129,1.2940908974479548,0.0,0.036663028981139226,1.3812114143065284e-39
CPI,0.5,0.10621296577030276,3.898833445515249e-152,1.6564591034269485,0.0,0.0709388390028764,2.801787007784693e-82
CPI,0.75,0.13428272523367185,2.0540753660424078e-200,2.1442469915951894,0.0,0.1368449661954915,5.54305522557027e-191
CPI,1.0,0.16038403417064243,5.4220415811899e-231,2.4459205799075288,0.0,0.23444119622198822,1.9066835002050455e-296
CPI,2.0,0.18962844325558853,8.315525256455696e-234,3.1542208348788328,0.0,0.928259719965413,0.0
PFI,0.0,0.44327683629238535,0.0,7.74667138211643,0.0,0.43559709131369034,0.0
PFI,0.02,0.4488097875634977,0.0,7.744689175956679,0.0,0.4443294699705746,0.0
PFI,0.05,0.513349305283542,0.0,7.752796157988168,0.0,0.47821948328415054,0.0
PFI,0.1,0.5083655038107512,0.0,7.90309233919446,0.0,0.49377404334293634,0.0
PFI,0.2,0.4533290192330367,0.0,7.84883050790335,0.0,0.5249227871113131,0.0
PFI,0.35,0.46978246843894156,0.0,7.8248034171290595,0.0,0.5033265587636532,0.0
PFI,0.5,0.49148424853443773,0.0,7.9352117943687,0.0,0.5978797361941989,0.0
PFI,0.75,0.472440994532068,0.0,8.070901606394537,0.0,0.7324446463790409,0.0
PFI,1.0,0.5056335429974671,0.0,7.975335198964261,0.0,0.9671826304265796,0.0
PFI,2.0,0.481898668322025,0.0,8.045183707111622,0.0,2.480797517077717,0.0
LOCO,0.0,0.04904778650934216,0.0,0.7875340654305255,0.0,0.05006775521293361,0.0
LOCO,0.02,0.05457948970301274,0.0,0.7939575387879516,0.0,0.047932414157305314,0.0
LOCO,0.05,0.047671108371978965,0.0,0.812232265708029,0.0,0.046637557229480264,0.0
LOCO,0.1,0.04592941205696377,0.0,0.8092752430848212,0.0,0.04568805253437036,0.0
LOCO,0.2,0.052521808279584636,0.0,0.8074236696349668,0.0,0.05464046272520873,0.0
LOCO,0.35,0.04524721011492294,0.0,0.8152442842846712,0.0,0.05791329594431405,0.0
LOCO,0.5,0.040536169633336394,0.0,0.8091865259393163,0.0,0.06177112405508611,0.0
LOCO,0.75,0.04356712069488422,0.0,0.814243675366037,0.0,0.06911296125430755,0.0
LOCO,1.0,0.04995327478334777,0.0,0.7984651570179867,0.0,0.08782281397044889,0.0
LOCO,2.0,0.042193244861929324,0.0,0.6693892608520872,0.0,0.20264035816133286,0.0
