LOCO,p_value,coord,d
0.27784697907322037,7.976757172325446e-297,0,10
0.2103070949241731,9.090628891072358e-272,1,10
-0.0006128116652466396,0.30972145255574984,6,10
-0.00018641863192682488,0.30998932424486536,7,10
0.30813924381191105,1.0236993462471557e-301,0,20
0.22000987873191624,4.673512775680276e-291,1,20
5.366772294737234e-05,0.14483500081702044,6,20
-0.00021800328171748068,0.2611420474038285,7,20
0.27795426753238595,0.0,0,35
0.2095736434871178,2.6273408284720417e-305,1,35
-0.0003678608768044537,0.3006441557688626,6,35
3.1455656031841504e-05,0.09860487414656322,7,35
0.25389967762505894,1.2953306806346e-290,0,50
0.19689592076033435,3.5356679154902677e-239,1,50
0.0001145253855083466,0.1267864845837614,6,50
-0.00013659460797321786,0.2993928781229739,7,50
0.20685401609523887,0.0,0,100
0.16048622840151122,6.513308277309487e-267,1,100
-5.2480003719532067e-05,0.30541396816444644,6,100
-6.012834176756267e-06,0.1808217690814531,7,100
