LOCO,p_value,coord,intra_cor
0.8468241066048815,0.0,0,0.05
0.8370128580104844,0.0,1,0.05
0.06638282377763806,0.24541340260395483,6,0.05
0.19741355296465565,0.024796202002194234,7,0.05
0.8962780924803541,0.0,0,0.1
0.7071967783680985,5.362377208939506e-14,1,0.1
0.16173381128436293,0.0713254304167803,6,0.1
0.3306979216659537,0.0006568586107047469,7,0.1
0.731675166275741,4.535727349264107e-11,0,0.3
0.7313846889380219,1.2561280904321848e-09,1,0.3
0.12708275992577275,0.16638466101117488,6,0.3
0.4677729163767779,6.733896229760283e-05,7,0.3
0.8982218074291641,3.3306690738754696e-16,0,0.5
0.9075718441435584,2.886579864025407e-15,1,0.5
0.05461254142394941,0.31207178612897557,6,0.5
0.1885477247227693,0.07054355514823962,7,0.5
0.6090576752057076,0.0,0,0.8
0.3371961642854375,0.0,1,0.8
0.007669780136699333,0.3949674999292928,6,0.8
0.005846470942668823,0.42610908208444265,7,0.8
