LOCO,p_value,coord,d
0.25224178544117404,1.00120747371379e-103,0,10
0.20581055552085914,5.798860723261602e-117,1,10
-0.00013306147888068635,0.24831227698008076,6,10
-0.0010166775138434035,0.3330198418588005,7,10
0.25441735734549986,5.7921960677393196e-145,0,20
0.1908984349111224,4.7037624150813294e-119,1,20
-3.7966401346375705e-05,0.18680912324261303,6,20
-0.0008688250185992256,0.32118264735358615,7,20
0.2556922880171733,1.768504763898719e-115,0,35
0.1789818857089343,6.276624039901149e-90,1,35
-0.0007659146769109368,0.3226817187077059,6,35
-0.00018915481111280206,0.30470830032413765,7,35
0.24747133377533093,6.953781683612695e-134,0,50
0.17680326568607224,1.8751621997932726e-110,1,50
0.00013293481831343516,0.06743780461238282,6,50
-9.319883368771825e-05,0.26603632907798946,7,50
0.24394572868803652,5.275483181517896e-140,0,100
0.18183227764579213,2.165172674717862e-118,1,100
0.0001645083373839528,0.056845720611691866,6,100
8.311533727138235e-05,0.06691757497471296,7,100
