LOCO,p_value,coord,intra_cor
0.385136588761501,3.4309874926906392e-276,0,0.05
0.37707556370401246,1.1780262976718797e-274,1,0.05
-0.00012386873566117907,0.24770904569971242,6,0.05
-0.00018686801989459826,0.3285906598208036,7,0.05
0.40249465744864826,3.883166275265976e-288,0,0.1
0.3991938296616474,5.353620051278902e-288,1,0.1
0.0001094786750215159,0.0742203739541494,6,0.1
-0.0003080761271058231,0.3274150845192154,7,0.1
0.39184155656112063,1.7226862984533564e-265,0,0.3
0.32533519864801314,2.445739503585267e-284,1,0.3
0.0002863051451662093,0.07160769410390062,6,0.3
-1.8773796178220156e-05,0.18927594227645897,7,0.3
0.3300240656101997,1.3274853469566527e-248,0,0.5
0.24770989103592633,8.140286199872258e-264,1,0.5
-0.00021125417276881918,0.31455976195740387,6,0.5
0.00011546553466591593,0.11968686368498112,7,0.5
0.1486079836341952,1.203227147825261e-307,0,0.8
0.09369576467876782,6.317390826355265e-253,1,0.8
4.333905233308809e-05,0.026642442368216536,6,0.8
-3.4473429421055416e-05,0.24020929738470725,7,0.8
