method,n_samples,imp_V0,pval_V0,imp_V1,pval_V1,imp_V2,pval_V2,imp_V3,pval_V3,imp_V4,pval_V4,imp_V5,pval_V5,imp_V6,pval_V6,imp_V7,pval_V7,imp_V8,pval_V8,imp_V9,pval_V9,imp_V10,pval_V10,imp_V11,pval_V11,imp_V12,pval_V12,imp_V13,pval_V13,imp_V14,pval_V14,imp_V15,pval_V15,imp_V16,pval_V16,imp_V17,pval_V17,imp_V18,pval_V18,imp_V19,pval_V19,imp_V20,pval_V20,imp_V21,pval_V21,imp_V22,pval_V22,imp_V23,pval_V23,imp_V24,pval_V24,imp_V25,pval_V25,imp_V26,pval_V26,imp_V27,pval_V27,imp_V28,pval_V28,imp_V29,pval_V29,imp_V30,pval_V30,imp_V31,pval_V31,imp_V32,pval_V32,imp_V33,pval_V33,imp_V34,pval_V34,imp_V35,pval_V35,imp_V36,pval_V36,imp_V37,pval_V37,imp_V38,pval_V38,imp_V39,pval_V39,imp_V40,pval_V40,imp_V41,pval_V41,imp_V42,pval_V42,imp_V43,pval_V43,imp_V44,pval_V44,imp_V45,pval_V45,imp_V46,pval_V46,imp_V47,pval_V47,imp_V48,pval_V48,imp_V49,pval_V49
0.5*CPI,30,0.09122477831716157,0.0998724027134523,0.04814583092527639,0.02067872763643535,0.025332097224170465,0.29687379033146755,0.009821168173222363,0.21748138839640058,0.004792905508563434,0.28522829143513373,0.0011821065211919126,0.3302699758158274,0.0118426170510079,0.09689844802653577,0.02142543479782363,0.24169165936173073,0.005083064019304962,0.29574582869103944,-0.00012834679303235254,0.24163578975470967,0.005447644270807459,0.09921320729286819,-0.0026881854827160534,0.3567430128832443,0.022115826469726412,0.30859789632365464,0.0013338938912225919,0.2109083664690009,-0.014838834261171224,0.30611489091134825,0.0017689578128320914,0.23767954832518404,0.002663084851717315,0.14236664960979195,0.004432351711686285,0.2316868776650145,-0.0008394013112744519,0.26609706527743954,0.002028934323499606,0.27079344673775185,0.0017156102430250341,0.10973146623739638,0.0012010858148475947,0.2071003656913485,-0.0011990817786884718,0.26130732370428444,-0.0016570075145933107,0.253944479151532,-0.0017039582498090075,0.19727778921037697,-0.006508128561435423,0.3671411519683029,-0.020489048474052005,0.24049335343138625,-0.010359139014301367,0.3274642836063345,0.014704934333901968,0.21197301914270428,-0.001669968579869514,0.24253790353457036,0.0057138247975386785,0.13621555455785195,-0.0010365443670847048,0.28294870875551537,-0.00020532598192012457,0.1714858754300751,0.0034618689066052218,0.22035204927813362,0.004191934761907747,0.18645803718917586,-0.0006157570204926519,0.28391424744335647,0.0007151100728634359,0.2899468033463592,0.00036747191638798635,0.2542235000043014,0.0024771086031743507,0.21171768729074092,0.010013467137339855,0.24607921318008577,-0.0009597589922098191,0.23841804681536358,-0.015005748764244493,0.3729783049015612,-0.008155993888316431,0.3983581385469309,-0.005533203500931662,0.29004435081899393,0.005727511577737599,0.30138247504188137,-0.0040077152863421325,0.2468160992844231,-0.0008304965775562552,0.3378996229121071,-0.0029585565425607682,0.37371098841713246,-0.011479846464019346,0.2847310566981505,0.003432958074459151,0.2218670153081025
0.5*CPI,50,0.1848397269391062,0.003940212015550875,0.18674301944401792,0.0004987353866789132,0.014240554041891822,0.08413570629883786,-0.008575411624694263,0.2413115966339451,0.013753862237091073,0.15129067049979347,0.001316910035002321,0.0676577358967358,-0.010144154899608859,0.34933911810867746,-0.00010967088616374494,0.2181525272035068,0.0018091497762850713,0.1737981299942014,-0.009392755171922592,0.3944228187413199,-0.0007246921822383468,0.40560084574927524,-0.002315898298444517,0.21433609544362575,0.002812788674577306,0.21294703123984493,-0.001314826758672485,0.20292069428753332,-0.005153795993801682,0.3416174917414375,0.0022773490770990694,0.3327700935387113,-0.0001443659402969987,0.3113279668953466,-0.0004270108733465607,0.32645700747457523,0.0008835088517523096,0.2661367248777057,-0.0015296380223846773,0.3036503817396501,0.003903938158252096,0.1878923148108589,-0.021807163185850822,0.3219113349253318,-0.0043075026262315965,0.24160528115846264,-0.01139505670831539,0.3202489451632585,-0.003846128320632797,0.2991069814461519,-0.019994945753135696,0.47126016060886533,-0.021371167324497432,0.3771176723679311,-0.021373941119716227,0.25222636916761576,-0.004108499578398799,0.31881879796372004,-0.0007185946854424232,0.27465227354933797,-0.00454898227026833,0.33426990585436045,-0.0010698294483236532,0.18366437584376405,0.00032455206194300485,0.28829949512764175,-0.037369729206139596,0.35011402893990795,-0.007943060213859295,0.37538185978753,-0.00040431463164280075,0.2668241685071483,0.006130078518785689,0.21693102784769913,-0.018696929553958016,0.43595616795722125,0.006032236986576871,0.30496255433871555,0.008692928435221632,0.19472468342263838,-0.000917739266596718,0.19630328155595272,0.0016216270766061796,0.2746991313785269,0.005694314959240983,0.30475610848042056,-0.0007869228510762358,0.3736802791087436,-0.006051031771571895,0.34392742745028443,-0.002064994157605058,0.37944050621930414,-0.007538921369739899,0.24100303466882805,0.0008660981181324565,0.23170841129880324,-0.006968866579875228,0.3497735838332125,-0.013248575019266273,0.35926453599796504
0.5*CPI,100,0.0532084269477039,0.000784466865630385,0.09262725971632385,0.00034454279791264403,-0.017272702191820217,0.2002307059053347,-0.0008696440185816049,0.17669500104590125,0.0008611752163058872,0.218247120877849,-0.006532963855412239,0.321360998200241,-5.879580265547298e-05,0.2685847083785591,0.00043457873198256215,0.14178300289325416,-0.007797024414997834,0.32736648457902007,0.00020227098102766785,0.24828317226902766,0.0009312057435438213,0.25609645918161933,-0.0008076638506860568,0.285568249809927,0.0071966600952294455,0.13525075650856078,-0.0017118255351369718,0.33702393023067095,0.0014251259496015933,0.19227716302308062,-0.0008252832281880554,0.17448046290427383,-0.002499267036418086,0.3276883937586577,-0.0021376101668642176,0.3120396511796292,0.0003955341235549021,0.29773487162893425,-0.0009603684387021074,0.23979734932295063,0.004018388008932064,0.13644725129502605,-0.0013331881716470663,0.41652093453993483,0.0006072524790786517,0.38532289110059936,0.0029369356202212328,0.3424540610213851,-0.016459463834279736,0.3834255014122845,0.002280134380068973,0.23549459076629153,-0.0015068602746503101,0.248901966925522,-0.00033770973460073495,0.2168349235888316,-0.0041179192549332935,0.3854257345445562,-0.005875771398865428,0.3325229901057039,-0.006816120900625336,0.3326711650533166,0.0023471434187958434,0.29956830967097436,-0.0016657544806774707,0.35640134190160405,-2.115449529909389e-05,0.2542389302585641,-0.0047807731919088095,0.3191840723395742,0.003911111443439063,0.20718701169223264,0.004763973268281124,0.24674951042942317,-0.0012089794336033182,0.4105776894589845,-0.004504370314393498,0.46678443158243116,0.00683778185742277,0.20236123626254826,-0.0013121058741545277,0.17926921262012002,-0.000833584886721296,0.22660287057767992,0.005161039422728202,0.22430796097346462,-0.0020139187958468224,0.31887135985642456,-0.001133693383327602,0.4032703113876767,-0.003290314796963012,0.4670700096072715,0.00018090726665566595,0.36787023801982743,0.013270210891218666,0.14723068462074465,0.0007525650871372716,0.1924395144250295,0.002299491436857692,0.3351749570480891
0.5*CPI,200,0.30629313610788417,4.579432824055408e-06,0.0766871263640428,9.424003862446164e-05,-0.0037025338866777603,0.18992875106890855,-0.002951475777230501,0.23849308408547598,-0.0038783504480624552,0.371255820456323,-0.001995786946094032,0.19310382904262693,0.004624032315323266,0.18925815972761748,0.014467723252029057,0.26096609321455716,0.012462245208067792,0.1896778318153092,-0.006029890468222729,0.37342020212905863,0.0034748346867728725,0.2148035928189325,-0.009456527448491655,0.2362326394795008,-0.003997552959057919,0.4020857980346191,-0.002727154036570766,0.3516363625802953,0.009890967643612875,0.2012468333650435,0.004496735906120113,0.13884651691444988,-0.003886494606854822,0.3692906337924945,0.0024129599017358146,0.22035192174514476,-0.0005193794498409316,0.21259755133664196,-0.003560702607764594,0.36571580479222726,0.01654389406057599,0.22359209748941683,0.006227735756995034,0.24636682272138974,-0.0046893686886188566,0.3249763455986348,0.0008207815584901665,0.36588004238974237,-0.0015127665274120325,0.22350849357462224,0.0023459159943785895,0.18742299112522132,-0.0008602349365062354,0.3017166713501904,0.0022186029556347745,0.2835574099968398,-0.0007544836935996624,0.2929915969089615,0.0007543109706505194,0.2726969616936481,-0.003276802324040334,0.30215971848881373,0.0011877668443215598,0.3630909503106937,-0.002758352460105697,0.31737176012841417,-0.012357013099500937,0.23827966996842995,-0.0017112005227499106,0.31962398627004907,0.007379448718815938,0.09954233552060067,-0.005764293368350947,0.31893916626579144,-0.008825560479777683,0.34291795110816975,-0.022469734467668555,0.42648502231468405,-0.0012638851082561276,0.2957233468934654,-0.00012783757328271758,0.27150552601380107,-0.0005372846816485841,0.30542508502450116,0.003345569143631326,0.30219469024874746,-0.007783842021767062,0.33764591196518895,-0.0007624641086567703,0.28470091544058296,0.0042428624340608715,0.2896128113021794,0.0021357661951527706,0.10592642216550952,0.0004873108031041133,0.15068673781481762,0.00030684880169566995,0.3581614326149558,-0.009959448475952986,0.30185004590936004
0.5*CPI,300,0.5105183432362023,1.9822391233299386e-09,0.2714128558033689,5.293822857650331e-06,-0.006073606349918174,0.15841269202776634,0.00015294322074934494,0.16147043888451543,-0.0060334911384619366,0.42674379460781253,0.017400954298989288,0.32613189876463505,0.003989486023909649,0.26298536112908444,-0.0036699681339077135,0.2494921348154313,4.327444283959712e-05,0.17781928296903562,-0.00027312647591649474,0.22573738769329085,-0.0033233106960122503,0.4420435303413587,-0.0026895371896498146,0.3099011897635569,-0.0008624743632239665,0.29382296329523366,-0.0010171970499125841,0.34486183976881823,-0.006253574147905215,0.36877146951980744,0.004396943388184759,0.2202878598840715,-0.0032779267843404086,0.41739729503482115,-0.013670929217441525,0.29603815868741123,0.00031950825636894813,0.23899087190005355,-0.005302346489232305,0.27742555758250487,-0.001968238151688566,0.32298572424188593,0.0018765833736346933,0.13790221068017583,0.005248186810751326,0.18517468072194185,-0.0002014558725086683,0.26812132762263613,-0.0019807373601201904,0.3690507299053104,-0.002420879307492314,0.35500631485802514,-0.0072292965603856126,0.3290735498219558,-0.002007066222616379,0.307911928256558,0.0009922954087185109,0.22163897208054656,-0.001768629022108243,0.2661616197022727,-0.006810131473560453,0.3151575139387949,-0.0016148031078112256,0.34172383717358834,0.0032267486519550154,0.20278713821879052,0.00535301398456767,0.3374659166749089,-0.0007258911539075963,0.2391095434374409,-0.000110574050108783,0.38443034388348185,-0.0012184115987980007,0.2828430372300793,-0.004019387248758397,0.2742034117374882,-0.00016350853033927332,0.3734998447170752,-0.005490138412908639,0.3894922489721975,-0.0009385315382679099,0.2738133175487,-0.0006151910121342054,0.21496039816207277,-0.00970319166310233,0.310757135257814,-0.0014066287546996353,0.257428222832499,-0.013129423514057803,0.4739834805967236,-0.0007602381774396451,0.3296895008413737,0.0034728199887391798,0.2031751305976234,-0.00479573508213135,0.3319106710629214,0.002293941130500429,0.18453777616691763,-0.0009004254042493722,0.22768258888525084
0.5*CPI,700,0.49462216360971295,6.985730797364966e-26,0.2936674392106841,2.5724696875872567e-17,0.027534705280094208,0.08608441742711143,0.001059373778595107,0.17204744712253492,0.00036782338783727855,0.2795771662775496,-3.419688584052541e-05,0.26260547982552396,0.0021706271721412375,0.16208229987161737,-0.0007446756742164508,0.2685414336636505,-0.00025146328273230496,0.16041703791910486,-0.00326592471592967,0.4278542281190652,-0.003577878032855933,0.358442224676793,-0.0010769881560576031,0.3195997007449535,0.001107585011731359,0.29294129163130955,0.0025723148535707206,0.22607729099717344,-0.0007397246997626323,0.2546028807634779,0.0010383183649564534,0.2896686434256922,0.0021164366678468652,0.33043201646917164,-0.0002345837363747976,0.2623854087433267,-0.0006768245869548808,0.42305262741608574,-0.0013270459455308374,0.33037926631182074,-0.0016385671485596128,0.20286915942566436,-0.0006029731021036949,0.32386841811484923,-0.00014075050342735214,0.3084178515047616,-0.0014154896649681494,0.38148097980166346,0.0013720461111342006,0.2576153461571382,-0.002180029235826475,0.44837296575756264,0.000590358078495369,0.34002427427465676,-6.272033357900593e-05,0.40655813452041367,-0.0021038563464010267,0.44122296539739825,-0.0005016314435161477,0.2518474376494002,0.0009633986504789805,0.1972897163521134,-0.0012161167470998674,0.38190484082630327,-0.0005723092337716723,0.3578470309368733,-0.006642684619727012,0.4174828057634662,0.0012287949550486433,0.2809979773815256,0.0006725954324522101,0.12520897188639046,-0.0009047980557094695,0.23900326543173125,0.0022724589377736823,0.1784689818579721,-0.0029939448842093838,0.4789941447485769,0.000319259350694657,0.2207674477902245,-0.0006050427543517082,0.2644225382897418,-0.0011397406203713576,0.336776901670944,-0.00010303691616915022,0.33863623338925564,-0.0034577178430870957,0.27779129050830303,-0.0031641500764201616,0.4045661142537741,-0.004144026943310948,0.21340392400334285,-0.00911563820027458,0.24699723115331415,0.0019000430208383655,0.2830885888258386,-0.002537895822181434,0.4547702916888573,-0.004794427019416258,0.37491702484867134
PFI,30,0.5079005994058403,0.20058610987648962,0.35603314005057635,0.042728044310717556,0.16828060293082603,0.5674736554991858,0.12004294666414618,0.3251241338121173,0.05003527403269546,0.5427010860475894,0.007060253820162487,0.6121942090866732,0.10918687091812562,0.22937961717973393,0.11002400514632696,0.3370493458027095,0.05257855691890578,0.5375067211980484,0.017574829381665748,0.3417883479970366,0.029218834239398684,0.14234922509636522,-0.028361937687345223,0.6614678208580618,0.1394169338307977,0.6095406690017016,-0.0013691805041599729,0.46464002586176034,-0.0634217343867325,0.6757188657750014,0.008470000150711065,0.5517384581642948,0.008973681825896184,0.28126017917371876,0.024976669637689044,0.4625376568851229,0.0007274305414629344,0.4343427950778735,0.022204864017482936,0.527839348098898,0.010350441092061834,0.30219070738885856,0.0023201948213197837,0.4623378050327676,-0.017521227461816214,0.5652381768515081,-0.012997805463756182,0.5016836439292063,-0.013805778382174701,0.45689583501051934,-0.03382544780385829,0.6031442428953833,-0.108195226472331,0.46505488444134024,-0.04860940836764286,0.617535433904521,0.09014171457847295,0.33094517009298297,-0.0010677956896853408,0.44848332178272377,0.039776722770366216,0.3203575909204797,-0.00929575727994673,0.5972300430358383,-0.0038377129729847822,0.4045259510197291,0.008378826180278394,0.5384405155469306,0.028998894234176578,0.46221651887287074,-0.0011786786434525077,0.5049947411568037,0.009966889923050988,0.5209517512866197,0.02125783401370743,0.47659575088307204,0.05059155502918632,0.2941104863510438,0.07268909169562147,0.41327130186375116,0.0022907296301932713,0.33242561286911765,-0.07330557878720009,0.6930201197350163,-0.04112955020431668,0.7409299481160181,-0.027638892383039383,0.6062813567440315,0.039790515969373795,0.5711953451376411,-0.008508791300903162,0.5228668011954063,-0.010395634483390044,0.7526184249103058,0.010329860709122837,0.6392667265600582,-0.05718445799176948,0.5841303572676747,0.0034711617712998096,0.38507112294447976
PFI,50,1.1474780020520512,0.0007745419213646485,0.869879210556121,0.00038609590912821236,0.08135505795983494,0.04159690840630085,-0.05955746920045257,0.4497877723440468,0.06159438874832222,0.28111915191412856,0.002670852604635443,0.1895174067580621,-0.08656086965721915,0.6724226101244354,-0.009041091727944598,0.6295206679751033,-0.011443901169290154,0.653361339831204,-0.01762318743778821,0.7792212400897407,0.005707860826353803,0.7057838125636232,-0.029626108136435486,0.658425863546215,0.0031033990570318083,0.45194303419024734,-0.009398164059911758,0.37334847472041444,0.00699393289253519,0.6678353262572683,0.007011751123956764,0.6639677190603612,0.005370116011452533,0.646308785529822,0.005809004779352155,0.6211565688762224,0.005892438367979992,0.5117637374590946,-0.020864935736441305,0.5307897256945429,0.028890968948870343,0.34839978995747667,-0.12788499333079204,0.679262634381056,-0.010600520678019754,0.3964126804326443,-0.10346129833568148,0.7331240873801679,0.00792257795452405,0.4870040144885043,-0.08660396712787181,0.7703092038556956,-0.1186359648526735,0.7304603992419663,-0.12708403012555677,0.430268766347372,-0.054039345111532404,0.6733165171497695,0.022564786295235034,0.36190007676906166,-0.01991780446855051,0.6283453362002949,-1.2056270037872074e-05,0.44877327617672164,0.0025835096219729192,0.6120483023463976,-0.15889501328429487,0.7712450205352506,-0.01932111138643109,0.7029491185273808,-0.008083967679118507,0.5605517368799564,0.02148331882202367,0.4375404733909921,-0.08994477643231891,0.7363777139230061,-0.007640718912876213,0.603780336781627,0.05314097827231303,0.37395335854191647,-0.0024065855915955613,0.4242177109483172,0.023934023947171167,0.4520668518979625,0.021238706806981075,0.6279811556326854,-0.0021474911566094967,0.6771738373963921,-0.024563661402601692,0.8044349198008953,-0.0187406138460171,0.835615164588867,-0.022261420745374006,0.40967373119351114,0.0023779688008877704,0.5061942915225721,-0.044439990560342334,0.6804221118974916,-0.07917269592408141,0.6229148229637727
PFI,100,0.4604338455817383,2.6367530988186736e-05,0.3885673548028237,0.0007437047397530544,0.030536242685501702,0.13532968041960408,0.0016712151625733523,0.21177182541872008,0.008756891302139613,0.2501095122638366,-0.0205914259146698,0.707217133009622,-0.00319898917889998,0.6373468057312679,-0.010964831376707704,0.44900808974417383,-0.026622799675513256,0.591540633313103,0.0019323261056194273,0.5046573502109994,0.0005649353329886767,0.646222909832992,-0.013623955293851471,0.6584925830099667,0.014930880755571512,0.31533071485933745,-0.005668370669202994,0.7767890683364906,0.0063464605402362385,0.4087616118544706,-0.001165494206207409,0.27726751402307637,0.0013914953312293998,0.42872377096090647,-0.014342833751457205,0.8268543702953641,-0.005933490742040432,0.6703728320675398,-0.0015089298953447777,0.4443270871397999,0.015359932114439185,0.3140735646839592,0.005530101856873115,0.7390730754459357,-0.0036511648286826847,0.6981865461515503,0.028127698750761657,0.6284630069411323,-0.025403381551300556,0.6612644487186125,0.019537560678165485,0.4505474114733362,-0.0024108784780023595,0.4373042307513524,-0.005661717629406221,0.4947993098200814,-0.004972340081119437,0.6366963797384173,-0.023355824250609364,0.7517659773462824,0.004220058124905467,0.3942951112512163,0.01665230608853124,0.500340264082709,0.002443629799090439,0.5550927768174618,0.0011347463788230034,0.41620290021709494,-0.011150876720763694,0.5323395275620324,0.02224685659660812,0.21292841020202824,0.01787772558862247,0.5261494104494482,-0.005444448157693112,0.8186270951219629,-0.003634706546293913,0.7765263671288386,0.013791249925488419,0.3353163243077345,0.0007446691904825753,0.353021987950487,-0.004103444740038638,0.5901727595657964,0.0011076270988276044,0.5940280463795777,-0.007563435980283238,0.6161369731065248,0.0036067526223622693,0.7295499924928386,-0.020074077867747158,0.825212489762731,-0.011067302195157544,0.8006821243142794,0.04253101114595878,0.25001720909491104,0.0020760659347928046,0.3740555912215242,0.005060793189765617,0.6492136760202194
PFI,200,2.1640306938073395,4.56743668000317e-10,1.1562421956624989,3.238443309162926e-07,-0.05888699859343933,0.31596005870878835,-3.5881509068198536e-05,0.1999051583078978,0.0024539528234623267,0.5383462536980252,-0.004169840634681881,0.36177795737455704,0.00563535916780707,0.1760636107089044,0.05277933428380985,0.24907745470497256,0.01672906227143698,0.472806931308282,-0.014142934674128117,0.5688844273640885,0.017865112538353288,0.18824556879095142,-0.005557864389774336,0.29891617410270943,-0.0026834860512971338,0.5261419719650616,-0.00970383469336466,0.506702042310126,0.031954059379625054,0.35388886251371665,0.09038982590691838,0.24213715277292167,-0.021006782397865145,0.5025859110564145,0.0420939707469841,0.3591550645900469,-0.022139329239555697,0.5480963213580184,-0.020254627310411884,0.8046902583674127,0.07612218898167011,0.5285781617723069,0.024887640626221567,0.30517258403941916,-0.02958030927991359,0.6504000197972349,0.05724676890117489,0.6123537282404079,-0.01044357660716479,0.5470461753750187,-0.008002159196552101,0.3366927947451745,0.0022000136713224805,0.30703004763557784,0.010003687841362859,0.5056469034992215,0.00977414158595357,0.4654933473303202,-0.0022039866949659006,0.5062901130699168,-0.01484494471503368,0.6060345953467312,-0.015878317245826067,0.8233982426986652,-0.025506591909946925,0.6456823982496255,-0.022323733075074865,0.3869007752568838,-0.0036643577993677482,0.5262290210435562,0.05763041596172023,0.14044804861856217,-0.015624097590692365,0.4848924777022987,-0.004121374403614616,0.5135554012656487,-0.0629512949171957,0.5701952555659623,-0.00730169940927008,0.5643102416525326,-0.005569581274366473,0.5709672734424149,-0.00882375791989938,0.7866089458373253,0.01657971868713517,0.43907916524913915,-0.008888382751795028,0.4207144876695622,-0.012123220658136537,0.302261958171021,0.057667973957178376,0.21795869208670351,0.00656569957320152,0.3513435616107455,0.0019409414953455075,0.21967416207466037,-0.005250178174255942,0.60500356214284,-0.015812787304918786,0.565188883063998
