LOCO,p_value,coord,intra_cor
0.3958008490369728,3.639707890873273e-146,0,0.05
0.40466309369445197,6.464128913102309e-145,1,0.05
-0.0026894074922326912,0.33287494556169384,6,0.05
-0.0016144180367653471,0.3291837827804842,7,0.05
0.4344256812153259,5.056014879451876e-128,0,0.1
0.4404974958520935,9.705717804149048e-132,1,0.1
-0.0020784460041059953,0.3330481593372011,6,0.1
0.00026665965772502287,0.12478215270052717,7,0.1
0.3935658582154782,1.044632382795037e-120,0,0.3
0.3209598066669944,4.344487288334285e-134,1,0.3
4.864017214869175e-05,0.12210679037608088,6,0.3
0.00020532174106308544,0.09064081263845682,7,0.3
0.2882091104795843,3.283174110949771e-157,0,0.5
0.23527204867821902,1.1235144806987627e-91,1,0.5
-0.0001374070113458724,0.2696995702830025,6,0.5
-0.00017747765845660225,0.2860813061354731,7,0.5
0.14066539457131155,1.7118896996602733e-153,0,0.8
0.10819917253521433,1.8312005028441372e-117,1,0.8
-0.00021604070505159767,0.32291678310663147,6,0.8
-0.00021132634282684508,0.33049046824617373,7,0.8
