method,n_samples,imp_V0,pval_V0,imp_V1,pval_V1
0.5*CPI,30,1.7949924585418229,6.592835732310834e-05,0.22708998845941164,0.07918863169462219
0.5*CPI,50,1.1038810364454914,1.1357471563060311e-13,0.5314555498569367,3.5132286519971284e-05
0.5*CPI,100,1.6032098730093076,1.8226753764635183e-15,0.33909110234181716,4.838786821419139e-10
0.5*CPI,250,2.1094934086381674,1.80233273559648e-55,0.4639867154803233,5.81708782894314e-24
0.5*CPI,500,2.4800317401014698,1.4196332877259378e-143,0.5555041207256705,1.381186770459508e-74
0.5*CPI,1000,2.4400555720668016,1.370952622046803e-304,0.7222585182496728,3.57806811039288e-166
0.5*CPI,2000,2.576802454582847,0.0,0.6273031686786079,0.0
PFI,30,13.66124916775791,4.7010384625758705e-15,1.2295300285931494,0.0006029552641327568
PFI,50,5.378668383816537,4.452994697703591e-15,2.2682122033614336,1.7558496610745478e-10
PFI,100,7.940159285992791,2.0887098029658552e-28,1.8592570931348467,9.467953611081803e-22
PFI,250,8.219788028970909,1.4774218496325783e-81,2.3765802755235375,8.837818093873491e-50
PFI,500,8.78370673674205,3.407919353092273e-142,1.999113524830394,9.9538442224013e-93
PFI,1000,8.010279727685674,7.832957620135267e-304,2.377361037983503,9.694580339043795e-208
PFI,2000,8.290152165068063,0.0,2.073719802335102,0.0
LOCO,30,8.078729772894212,0.3333333333332707,0.4604357102352468,0.3334197257103257
LOCO,50,0.8818637468136613,0.0004604022536831564,-1.8751700320823659,0.6678239792579816
LOCO,100,1.5600514529639058,0.0004946935541330076,0.21775559583810866,0.03461106684812302
LOCO,250,1.942173790456782,4.899161853977318e-09,0.5832421000049549,0.003215740228445951
LOCO,500,2.1807106381420125,0.0,0.574521296208233,7.79964891765387e-06
LOCO,1000,2.4548928597649833,0.0,0.8377307793588487,1.91029673561142e-10
LOCO,2000,2.5328064244695376,0.0,0.6366810938790612,3.700743415417188e-17
LOCO-AC,30,8.396566056022758,0.047427634314879424,0.6302796718585689,0.10330014457560636
LOCO-AC,50,2.0360948734906463,0.022129178063917218,0.5815416011965824,0.2861395295236237
LOCO-AC,100,2.0871926847532496,0.013690304749167556,0.6854235141469209,0.09897605688417126
LOCO-AC,250,2.87267484031046,0.0006014740800416001,0.6744198776373044,0.000506637644794093
LOCO-AC,500,2.254377020193189,4.5597833332182346e-09,0.6850531354408365,8.236699606334262e-07
LOCO-AC,1000,2.4260204918968844,2.8803313333724476e-15,0.7517955069458071,3.973617397414434e-09
LOCO-AC,2000,2.5460125362560904,4.075770605180758e-28,0.5999992124318768,1.0241997293891625e-18
Robust-CPI,30,2.5492751532096394,0.0012640060833654686,0.3146589673555933,0.3990403529171851
Robust-CPI,50,1.4709102707529076,1.6282441653691336e-08,0.6701931437106382,0.0069645504956761225
Robust-CPI,100,2.0138500642073676,2.25853718605195e-09,0.41363716588097177,2.347391637416923e-05
Robust-CPI,250,2.4125936718096175,3.2091041051638027e-23,0.5278529065561793,9.263490857357063e-11
Robust-CPI,500,2.782995207585654,1.1098503400875833e-49,0.6282312697759024,6.791565160264068e-29
Robust-CPI,1000,2.743949603118697,2.3798108599565235e-105,0.7787452015341888,9.343451207135198e-53
Robust-CPI,2000,2.7645480543155716,3.5418119593881766e-178,0.6604630997352533,7.864481117787386e-99
0.5*CPI,30,0.9550488368473843,6.592835732310834e-05,0.19423421514667816,0.07918863169462219
0.5*CPI,50,1.4042819739723165,1.1357471563060311e-13,0.36147386889942495,3.5132286519971284e-05
0.5*CPI,100,1.309980826683513,1.8226753764635183e-15,0.4374199173944278,4.838786821419139e-10
0.5*CPI,250,1.9831613420766703,1.80233273559648e-55,0.5505795643711106,5.81708782894314e-24
0.5*CPI,500,2.430330688967874,1.4196332877259378e-143,0.6133200508477257,1.381186770459508e-74
