LOCO,p_value,coord,intra_cor
-0.02517504346859398,0.6722014196975359,0,0.05
-0.012026333867706792,0.6860093831380749,1,0.05
0.07121532887799942,0.14072709366515124,6,0.05
0.028087067527702327,0.13375642819138422,7,0.05
0.002190941636966225,0.46050113795885483,0,0.1
0.006032937301728471,0.3890149270122796,1,0.1
-0.07150620518405815,0.9803083505089423,6,0.1
0.09004130104341294,3.5608399119091416e-05,7,0.1
0.008012983369618866,0.463252610774043,0,0.3
0.1550642908663027,0.027437202263771443,1,0.3
-0.131816396346546,0.9210368333696068,6,0.3
0.18822813185622334,0.05203679405838546,7,0.3
-0.014807285444068336,0.5507563129726545,0,0.5
0.19070714328715152,0.058453228648533306,1,0.5
0.020235042894568095,0.4240073297663135,6,0.5
0.5850504460315081,6.466424381512681e-07,7,0.5
0.13375770577007168,0.0011633933945586206,0,0.8
0.06379038808019259,0.12276628930718414,1,0.8
-0.009323846266810416,0.5918535548261075,6,0.8
0.3701964420590302,9.890640750853663e-09,7,0.8
