method,intra_cor,imp_V0,pval_V0,imp_V1,pval_V1
0.5*CPI,0.0,4.52635546009178,5.943849003561476e-37,0.7495597661165738,4.958067413969153e-15
0.5*CPI,0.05,2.440018928572856,6.108594425757323e-36,1.9543506024810922,5.337534704788877e-24
0.5*CPI,0.1,2.2115602146841358,3.2197318197822533e-28,0.8252739193837746,2.0902984973524272e-16
0.5*CPI,0.2,2.385761150168136,9.088408290703404e-29,0.7725647973866938,4.945801535782265e-22
0.5*CPI,0.3,2.1960613166914653,1.4226962718984615e-21,0.6130319336946899,2.6191949447764416e-13
0.5*CPI,0.5,1.22759690292441,9.366467381186289e-20,0.6886692666390648,1.6397712885198728e-12
0.5*CPI,0.65,1.5008749997343722,9.559181483769954e-18,0.3375799678614828,2.2346159828414976e-08
0.5*CPI,0.85,0.524944502807689,1.0874258872586525e-11,0.2681869125572399,3.157089499303947e-05
PFI,0.0,12.665008282172757,1.203328904996538e-31,2.1464342346451493,3.2666977899055907e-16
PFI,0.05,7.246341389430577,2.1165263406089348e-34,5.681258721060383,6.36956408930862e-21
PFI,0.1,6.9333308662398325,3.206382858892399e-35,2.6842408408216567,3.7597489692517385e-16
PFI,0.2,7.415020345345581,7.155480570141126e-29,2.549166538992461,6.426849809653942e-26
PFI,0.3,7.394386935000072,5.72197160586395e-31,2.216845662665804,4.928414403764226e-16
PFI,0.5,6.091503396699454,3.659744432813675e-28,2.914576981130142,1.7415282677991784e-18
PFI,0.65,8.114219613412367,4.930057434336828e-27,2.138935696242513,3.1354193766249853e-09
PFI,0.85,5.323966635696268,5.981323284873492e-29,3.522570390952447,3.2981670793406174e-15
LOCO,0.0,5.324938673147424,2.7031878957473057e-10,0.8469538014935557,0.0014078120104856983
LOCO,0.05,2.8616790414659032,8.438235951535589e-07,1.3331180643512202,0.002092786808383762
LOCO,0.1,2.6768733301009218,6.613078969230912e-06,0.720007403420714,0.0005591070407332977
LOCO,0.2,4.198435748989541,1.477272793066753e-05,0.9511801180920264,0.004212606595155877
LOCO,0.3,2.2111288351809173,2.5465031887983435e-05,0.3906750761109934,0.019015860259872987
LOCO,0.5,1.7086771237620062,6.0092725411942104e-05,0.49568242540951646,0.0021764046907408073
LOCO,0.65,1.6607631395053597,0.0004940869200133369,0.43025242843202327,0.022560750832394373
LOCO,0.85,0.3839143241248028,0.013469162343061303,0.4431623738618222,0.1999392335356149
LOCO-AC,0.0,10.031051535801339,0.0013367882375325026,1.3512346003720705,0.0203600597696316
LOCO-AC,0.05,5.693781982115982,0.0008525495498794034,3.421627981254821,0.012753553545874626
LOCO-AC,0.1,5.885657698915622,0.0004692063282258412,1.5385418956345167,0.023070127707328855
LOCO-AC,0.2,4.606166706799876,0.0007833640717759024,0.6590726666350751,0.007727479343255534
LOCO-AC,0.3,4.645122035917135,0.0024098961071320436,0.941846790026337,0.0438098908292001
LOCO-AC,0.5,3.260523585516476,0.0041347967124175265,1.4275865653276538,0.02297272729095412
LOCO-AC,0.65,2.2938917962308913,0.01216469081925894,1.6362516809174399,0.060455016814682204
LOCO-AC,0.85,0.6793933204732862,0.029926144360636397,0.4293801815045103,0.10850429292537254
Robust-CPI,0.0,5.8407715665386295,1.4625247936949972e-18,0.9186914623711577,2.05823061605032e-08
Robust-CPI,0.05,3.116885603789738,8.033391067564304e-19,2.394194320482179,6.332904409016969e-12
Robust-CPI,0.1,2.898207004311768,7.601007077610613e-15,1.0139681574771553,8.263550375024295e-08
Robust-CPI,0.2,3.0881710186176416,5.891733136341641e-15,0.8519335637204799,1.8945110823685217e-11
Robust-CPI,0.3,2.807039226171867,2.5510828082553276e-12,0.7428840058921231,2.1633652456876974e-07
Robust-CPI,0.5,1.485353158185005,1.5111049195186792e-10,0.790030221819188,2.7377033400388164e-05
Robust-CPI,0.65,1.8671953897689273,7.256666202857416e-10,0.4075322416061796,9.00234564784961e-05
Robust-CPI,0.85,0.6600598524220763,5.501401892732861e-07,0.3419078260029022,0.00872634029505243
0.5*CPI,0.0,2.731124652333274,5.943849003561476e-37,0.7515115855118063,4.958067413969153e-15
0.5*CPI,0.05,2.5507732232515865,6.108594425757323e-36,0.5749558748361352,5.337534704788877e-24
0.5*CPI,0.1,2.303736032561419,3.2197318197822533e-28,0.7672822706841658,2.0902984973524272e-16
0.5*CPI,0.2,2.328084808081477,9.088408290703404e-29,0.8269807277526959,4.945801535782265e-22
0.5*CPI,0.3,2.148713997022745,1.4226962718984615e-21,0.5702069751223073,2.6191949447764416e-13
0.5*CPI,0.5,1.5378599300631333,9.366467381186289e-20,0.48560127966622857,1.6397712885198728e-12
0.5*CPI,0.65,1.6206596978993246,9.559181483769954e-18,0.4064003657438811,2.2346159828414976e-08
0.5*CPI,0.85,0.8083632443883382,1.0874258872586525e-11,0.21251203710969754,3.157089499303947e-05
PFI,0.0,7.739565057996219,1.203328904996538e-31,1.9923484396337983,3.2666977899055907e-16
PFI,0.05,7.611934471972151,2.1165263406089348e-34,1.6919790244323627,6.36956408930862e-21
PFI,0.1,7.248583431359473,3.206382858892399e-35,2.436907165451541,3.7597489692517385e-16
PFI,0.2,7.5011482353036785,7.155480570141126e-29,2.5330962231689806,6.426849809653942e-26
PFI,0.3,7.803121149420824,5.72197160586395e-31,2.0009621768822132,4.928414403764226e-16
PFI,0.5,7.357573706194119,3.659744432813675e-28,2.530569027739436,1.7415282677991784e-18
PFI,0.65,8.702739324564465,4.930057434336828e-27,2.3610744901961915,3.1354193766249853e-09
PFI,0.85,7.340651905932398,5.981323284873492e-29,2.936418427446573,3.2981670793406174e-15
LOCO,0.0,3.175537172617965,2.7031878957473057e-10,0.3752533769024807,0.0014078120104856983
LOCO,0.05,2.8667854882590054,8.438235951535589e-07,0.3778788084708735,0.002092786808383762
LOCO,0.1,2.23805286883392,6.613078969230912e-06,0.5650710298772488,0.0005591070407332977
LOCO,0.2,3.4954457577248617,1.477272793066753e-05,0.8740197720706052,0.004212606595155877
LOCO,0.3,1.604286897238771,2.5465031887983435e-05,0.534926924757992,0.019015860259872987
LOCO,0.5,2.575073825250334,6.0092725411942104e-05,0.5757771929693069,0.0021764046907408073
