LOCO,p_value,coord,d
0.12738261794520608,0.00014603143637748062,0,10
0.13328786413359586,3.5492474164233734e-05,1,10
-0.0744772435023666,0.9872828290171197,6,10
0.578782763767128,0.0,7,10
0.10928378839785484,0.0007679152677677603,0,20
0.12057593890024264,0.00014407258077897556,1,20
-0.004415243259809512,0.5494375313359406,6,20
0.4804935069187285,0.0,7,20
0.17217985531359498,6.37567454941923e-07,0,35
0.11361452894913511,0.0006255930639338381,1,35
0.0037912848333853705,0.4567513124203739,6,35
0.4413798080295204,0.0,7,35
0.04017963246359796,0.13345660948107252,0,50
0.16325753127126005,6.05083343097057e-07,1,50
0.02694004643427256,0.21934741697080318,6,50
0.4543934618516262,0.0,7,50
0.11886489932736419,0.0002448550336406896,0,100
0.10510168040606158,0.0015554322372814955,1,100
0.00010120860920189134,0.49886114584466146,6,100
0.467217465819747,0.0,7,100
