method,intra_cor,imp_V0,pval_V0,imp_V1,pval_V1
0.5*CPI,0.0,4.7086419989014505,3.0686743218465314e-162,0.8643025364220587,2.1545205358009633e-104
0.5*CPI,0.02,4.106207659297528,2.9689143581659523e-154,1.1176006499708637,2.787017179625191e-116
0.5*CPI,0.05,4.07892624163731,2.267725560473632e-142,0.8336373175870095,1.372591710019212e-113
0.5*CPI,0.1,4.092618383005087,1.5988382996161236e-160,0.8626205088995998,6.860111466365198e-108
0.5*CPI,0.2,3.954777163040794,3.804997179976359e-159,0.8514727077387266,8.715134698369784e-111
0.5*CPI,0.3,3.6184126203485176,3.370162943755645e-149,0.7934594325438331,4.833367194253088e-94
0.5*CPI,0.5,3.04867384618892,9.197093062022318e-154,0.6571467431650765,8.904195888357875e-81
0.5*CPI,0.65,2.261610738998898,1.6396678416278344e-124,0.510977211483286,1.176076446421509e-52
0.5*CPI,0.8,1.3605936939876642,4.384550514849817e-97,0.3328216191149761,2.9987186654347656e-41
0.5*CPI,0.9,0.4315609886900005,1.2220416842981216e-43,0.11690161147369973,2.3006420687449348e-17
PFI,0.0,10.12299998841678,9.36010397688091e-175,1.876415652543023,9.302123803998126e-121
PFI,0.02,8.948743247333711,2.095457316351912e-164,2.4280762842084163,1.0598931663428317e-132
PFI,0.05,8.869789728080743,1.3320691964283023e-158,1.8246796645204424,6.779681442098368e-118
PFI,0.1,8.960072785371269,6.821170972877314e-165,1.8894956483285468,3.0638441901367375e-121
PFI,0.2,8.918108050274345,4.848824795005076e-159,1.9452951135147198,6.079653653793945e-122
PFI,0.3,8.653548017328815,8.423667449363201e-150,1.922452189881021,6.946481291415854e-115
PFI,0.5,8.98586503408498,4.220978375466938e-162,1.946665775623679,1.8960192879481522e-92
PFI,0.65,8.910968344985498,2.2465797003735075e-148,2.0433535949417094,1.4892735549875367e-81
PFI,0.8,8.686120118596047,1.7734992300281477e-135,2.1153580310119455,4.783178831335728e-82
PFI,0.9,8.462778099211327,1.4196024458781753e-135,2.3724325867891105,1.2753298036184643e-78
LOCO,0.0,4.773528590923555,0.0,0.7566959033207304,9.275604728742338e-11
LOCO,0.02,4.232715686461282,0.0,1.0325876769152564,7.599789242362931e-10
LOCO,0.05,4.329527190504074,0.0,0.8390277464613227,7.035964033619281e-10
LOCO,0.1,4.2942372754199996,0.0,0.905349442315786,2.5409985227042855e-11
LOCO,0.2,4.074818305767382,0.0,0.740916497593956,9.239296869800739e-08
LOCO,0.3,3.7763821534018676,0.0,0.7857767061079144,3.557092702610731e-08
LOCO,0.5,2.929372249782647,0.0,0.5568593441906847,5.8895701225036856e-05
LOCO,0.65,2.2244551284812184,7.993605777301128e-16,0.34516927815979004,0.004357292728717677
LOCO,0.8,1.248901866788637,2.8314508515592254e-10,0.2735775268691195,0.03705132925251196
LOCO,0.9,0.7075609986442335,4.282228554353118e-06,0.20405320015477785,0.09216014399204779
LOCO-AC,0.0,6.590720695865281,3.1879867983364916e-10,1.3510747221046193,5.353785810450141e-07
LOCO-AC,0.02,6.474792163808343,4.174870309138995e-09,1.6856288880017831,5.173985056841928e-07
LOCO-AC,0.05,6.158731608615232,1.205487298129999e-10,1.3668947953259962,1.287430541515405e-07
LOCO-AC,0.1,5.713318085425778,3.4435354335541035e-09,1.3270779146988692,5.717902987548471e-07
LOCO-AC,0.2,5.602717718719786,2.7587538679823544e-10,1.2542646740565389,4.425049122851578e-06
LOCO-AC,0.3,5.982009580083708,1.2552880913135217e-09,1.1097072575993856,1.0780203314953328e-05
LOCO-AC,0.5,5.4067717833675,1.7725493956159326e-06,1.09189296943412,3.324163148386725e-05
LOCO-AC,0.65,3.353062132571975,1.203408436407499e-08,0.9103735342210287,2.622237023459846e-05
LOCO-AC,0.8,1.983620217123506,9.540765284363101e-07,0.5020954315314549,0.0057025050967196445
LOCO-AC,0.9,1.0906732622714612,9.386091381402892e-05,0.27508307436491575,0.08640889758670402
Robust-CPI,0.0,5.337602375990281,1.7810263949331009e-56,1.0168472835820639,6.280978535070522e-41
Robust-CPI,0.02,4.645434666697726,5.0137021377385905e-53,1.2982325034674584,1.7051490668109194e-43
Robust-CPI,0.05,4.5993347670184335,1.5088504303624e-48,0.975448094243847,1.3220824708728761e-41
Robust-CPI,0.1,4.582245699947559,6.082243467756368e-54,1.0029119655874696,4.2692151305964097e-41
Robust-CPI,0.2,4.4693850017307675,2.037698317857489e-53,0.9752396557088743,4.622792754768674e-40
Robust-CPI,0.3,4.131378448658061,2.875948882614447e-51,0.9147658282009417,2.289058456355184e-33
Robust-CPI,0.5,3.467760315895565,1.6050375851673647e-53,0.7488498323032635,1.3105426047934297e-29
Robust-CPI,0.65,2.578783770422078,3.657681623594405e-45,0.5932467216377754,4.5839200033545646e-20
Robust-CPI,0.8,1.5744317969414847,5.49127427997867e-35,0.3917217915525399,1.444187116320591e-17
Robust-CPI,0.9,0.49841182576864784,2.1958769922925667e-16,0.12899482869226495,2.873742036213476e-06
